sex,race1,ugpa,bar
1.0,asian,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,other,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,black,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,black,3.5,b Passed 2nd time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,b Passed 2nd time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,b Passed 2nd time
1.0,white,3.5,a Passed 1st time
1.0,hisp,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,c Failed
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,c Failed
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,asian,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,c Failed
2.0,white,3.5,a Passed 1st time
1.0,black,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,other,3.5,b Passed 2nd time
2.0,black,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,black,3.5,b Passed 2nd time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,other,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,hisp,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,c Failed
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,hisp,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,c Failed
2.0,hisp,3.5,b Passed 2nd time
2.0,hisp,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,hisp,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,b Passed 2nd time
1.0,white,3.5,a Passed 1st time
1.0,black,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,other,3.5,b Passed 2nd time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,black,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,black,3.5,a Passed 1st time
1.0,asian,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,b Passed 2nd time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,other,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,b Passed 2nd time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,b Passed 2nd time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,other,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,asian,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,b Passed 2nd time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,b Passed 2nd time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,b Passed 2nd time
1.0,asian,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,hisp,3.5,a Passed 1st time
2.0,white,3.5,b Passed 2nd time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,asian,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,other,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,asian,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,black,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,black,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,b Passed 2nd time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,black,3.5,a Passed 1st time
2.0,other,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,asian,3.5,a Passed 1st time
1.0,white,3.5,c Failed
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,b Passed 2nd time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,asian,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,c Failed
2.0,white,3.5,a Passed 1st time
1.0,black,3.5,c Failed
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,asian,3.5,b Passed 2nd time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,b Passed 2nd time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,asian,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,b Passed 2nd time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,c Failed
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,asian,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,black,3.5,a Passed 1st time
2.0,white,3.5,b Passed 2nd time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,b Passed 2nd time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,black,3.5,b Passed 2nd time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,hisp,3.5,b Passed 2nd time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,b Passed 2nd time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,c Failed
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,b Passed 2nd time
1.0,hisp,3.5,a Passed 1st time
1.0,asian,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,b Passed 2nd time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,hisp,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,asian,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,black,3.5,a Passed 1st time
1.0,hisp,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,c Failed
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,hisp,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,b Passed 2nd time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,b Passed 2nd time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,asian,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,asian,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,hisp,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,hisp,3.5,b Passed 2nd time
2.0,white,3.5,b Passed 2nd time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,black,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,b Passed 2nd time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,asian,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,hisp,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,black,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,asian,3.5,b Passed 2nd time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,b Passed 2nd time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,asian,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,asian,3.5,a Passed 1st time
2.0,hisp,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,hisp,3.5,a Passed 1st time
1.0,black,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,hisp,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
,,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,c Failed
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,black,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,c Failed
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,b Passed 2nd time
1.0,white,3.5,a Passed 1st time
2.0,black,3.5,a Passed 1st time
2.0,asian,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,hisp,3.5,b Passed 2nd time
1.0,black,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,c Failed
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,black,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,c Failed
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,hisp,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,b Passed 2nd time
1.0,hisp,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,c Failed
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,b Passed 2nd time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,hisp,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,other,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,hisp,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,asian,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,b Passed 2nd time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
1.0,white,3.5,a Passed 1st time
2.0,white,3.5,a Passed 1st time
